,0,1.668931e+12,0.3291,0.3292,0.3288,0.3291.1,50492.5,1.668931e+12.1,2022-11-20,07:55:00,2022-11-20.1,07:59:59,0.1,1
0,1,1668931000000.0,0.3291,0.3293,0.3286,0.3289,217459.7,1668931000000.0,2022-11-20,08:00:00,2022-11-20,08:04:59,0,3
1,2,1668932000000.0,0.3289,0.3289,0.3286,0.3287,72008.0,1668932000000.0,2022-11-20,08:05:00,2022-11-20,08:09:59,0,4
2,3,1668932000000.0,0.3286,0.3286,0.3281,0.3283,221736.5,1668932000000.0,2022-11-20,08:10:00,2022-11-20,08:14:59,0,5
3,4,1668932000000.0,0.3282,0.3284,0.328,0.328,40923.1,1668932000000.0,2022-11-20,08:15:00,2022-11-20,08:19:59,0,6
4,5,1668932000000.0,0.328,0.3281,0.3277,0.3278,174783.7,1668933000000.0,2022-11-20,08:20:00,2022-11-20,08:24:59,0,7
5,6,1668933000000.0,0.3278,0.328,0.3276,0.3277,56848.6,1668933000000.0,2022-11-20,08:25:00,2022-11-20,08:29:59,0,8
6,7,1668933000000.0,0.3277,0.3279,0.3275,0.3278,232403.0,1668933000000.0,2022-11-20,08:30:00,2022-11-20,08:34:59,1,0
7,8,1668933000000.0,0.3279,0.328,0.3264,0.3265,459766.6,1668934000000.0,2022-11-20,08:35:00,2022-11-20,08:39:59,0,1
8,9,1668934000000.0,0.3265,0.3267,0.324,0.3244,1887655.5,1668934000000.0,2022-11-20,08:40:00,2022-11-20,08:44:59,0,2
9,10,1668934000000.0,0.3244,0.3244,0.324,0.3241,136288.9,1668934000000.0,2022-11-20,08:45:00,2022-11-20,08:49:59,0,3
