z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207,LONGS_SIGNAL,SHORTS_SIGNAL,index,open,close,low,high
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,412.0,41862.44,41785.6,41784.63,41892.9
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,413.0,41786.01,41810.72,41778.22,41834.35
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,414.0,41810.7,41771.97,41731.93,41821.22
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,415.0,41769.24,41789.57,41769.24,41829.03
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,416.0,41785.39,41803.43,41720.74,41803.44
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,417.0,41798.06,41696.28,41690.94,41813.09
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,418.0,41692.23,41700.49,41692.18,41752.95
True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,419.0,41700.05,41633.59,41591.6,41717.07
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,420.0,41633.6,41629.78,41598.18,41685.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,421.0,41629.76,41755.0,41625.01,41775.36
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,422.0,41755.0,41775.49,41754.99,41833.31
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,423.0,41776.03,41767.57,41760.11,41826.33
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,424.0,41765.7,41773.75,41715.12,41793.19
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,425.0,41773.75,41812.64,41765.86,41812.64
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,426.0,41814.99,41851.35,41813.61,41950.87
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,427.0,41851.35,41842.47,41803.74,41872.28
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,428.0,41842.48,41794.87,41745.37,41845.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,429.0,41794.86,41874.64,41794.86,41892.27
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,430.0,41874.63,41916.33,41839.58,41945.7
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,431.0,41917.21,41829.71,41829.71,41917.21
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,432.0,41827.68,41738.62,41738.62,41864.76
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,433.0,41741.17,41876.0,41730.88,41899.99
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,434.0,41874.53,41903.32,41816.11,41936.89
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,435.0,41903.32,41895.76,41829.52,41915.06
