,roi_cat,short_flg,long_flg,nothing_flg,long_pa,short_pa
0,0.5,0,0,1.0,0.0,0.0
1,1.0,0,1,0.0,42523.63,0.0
2,1.0,0,1,0.0,42554.91,0.0
3,1.0,0,1,0.0,42567.11,0.0
4,1.0,0,1,0.0,42442.41,0.0
5,1.0,0,1,0.0,42492.05,0.0
6,1.0,0,1,0.0,42514.08,0.0
7,1.0,0,1,0.0,42625.73,0.0
8,1.0,0,1,0.0,42672.39,0.0
9,1.0,0,1,0.0,42696.44,0.0
10,1.0,0,1,0.0,42715.93,0.0
11,0.0,1,0,0.0,0.0,42845.45
12,0.0,1,0,0.0,0.0,42875.66
13,0.0,1,0,0.0,0.0,42849.85
14,0.5,0,0,1.0,0.0,0.0
15,0.5,0,0,1.0,0.0,0.0
16,1.0,0,1,0.0,42712.3,0.0
17,1.0,0,1,0.0,42703.36,0.0
18,0.5,0,0,1.0,0.0,0.0
19,0.0,1,0,0.0,0.0,42865.84
20,0.0,1,0,0.0,0.0,42825.71
21,0.5,0,0,1.0,0.0,0.0
22,1.0,0,1,0.0,42669.02,0.0
23,0.5,0,0,1.0,0.0,0.0
24,0.0,1,0,0.0,0.0,42837.27
25,0.0,1,0,0.0,0.0,42891.63
26,0.0,1,0,0.0,0.0,43051.96
27,0.0,1,0,0.0,0.0,43008.27
28,0.0,1,0,0.0,0.0,43016.83
29,0.0,1,0,0.0,0.0,42908.06
30,0.0,1,0,0.0,0.0,42859.83
31,0.0,1,0,0.0,0.0,42859.29
32,0.0,1,0,0.0,0.0,42843.19
33,0.0,1,0,0.0,0.0,42827.71
34,0.0,1,0,0.0,0.0,42836.67
35,0.5,0,0,1.0,0.0,0.0
36,0.0,1,0,0.0,0.0,42829.19
37,0.0,1,0,0.0,0.0,42832.8
38,0.5,0,0,1.0,0.0,0.0
39,0.5,0,0,1.0,0.0,0.0
40,0.5,0,0,1.0,0.0,0.0
41,0.5,0,0,1.0,0.0,0.0
42,0.5,0,0,1.0,0.0,0.0
43,0.5,0,0,1.0,0.0,0.0
44,0.5,0,0,1.0,0.0,0.0
45,0.5,0,0,1.0,0.0,0.0
46,0.5,0,0,1.0,0.0,0.0
47,0.5,0,0,1.0,0.0,0.0
48,0.5,0,0,1.0,0.0,0.0
49,0.5,0,0,1.0,0.0,0.0
50,0.5,0,0,1.0,0.0,0.0
51,0.5,0,0,1.0,0.0,0.0
52,0.5,0,0,1.0,0.0,0.0
53,0.5,0,0,1.0,0.0,0.0
54,1.0,0,1,0.0,42667.58,0.0
55,0.5,0,0,1.0,0.0,0.0
56,1.0,0,1,0.0,42656.16,0.0
57,1.0,0,1,0.0,42671.44,0.0
58,0.5,0,0,1.0,0.0,0.0
59,0.5,0,0,1.0,0.0,0.0
60,1.0,0,1,0.0,42661.7,0.0
61,0.5,0,0,1.0,0.0,0.0
62,0.5,0,0,1.0,0.0,0.0
63,0.5,0,0,1.0,0.0,0.0
64,0.5,0,0,1.0,0.0,0.0
65,0.0,1,0,0.0,0.0,42848.43
66,0.0,1,0,0.0,0.0,42891.68
67,0.0,1,0,0.0,0.0,42852.23
68,0.5,0,0,1.0,0.0,0.0
69,0.5,0,0,1.0,0.0,0.0
70,0.5,0,0,1.0,0.0,0.0
71,0.5,0,0,1.0,0.0,0.0
72,0.5,0,0,1.0,0.0,0.0
73,0.5,0,0,1.0,0.0,0.0
74,0.5,0,0,1.0,0.0,0.0
